Year,Month,Avg_Temp (°C),Max_Temp (°C),Min_Temp (°C),Precipitation (mm),Humidity (%),Wind_Speed (m/s),Solar_Irradiance (W/m²),Cloud_Cover (%),CO2_Concentration (ppm),Latitude,Longitude,Altitude (m),Proximity_to_Water (km),Urbanization_Index,Vegetation_Index,ENSO_Index,Particulate_Matter (µg/m³),Sea_Surface_Temp (°C)
2022.0,1.0,17.114139363263035,20.371654648464506,15.216323787995751,92.30967632258186,54.91768116461336,11.367768060997024,174.30758885994237,19.075636871871627,413.3091208391582,40.7128,-74.006,10.0,15.0,0.5718354921821526,0.052938563045685116,-0.2739109632960237,44.25614691027019,11.244044595740325
2022.0,2.0,3.0642381563922996,25.798053811861582,15.063416604686026,27.582915347506407,59.730070157519854,9.121687530828368,202.004512656162,32.09882371160233,437.8326509638059,,-74.006,10.0,15.0,0.9414113301703747,0.1626484124483667,-0.40565880334018223,32.5993170690226,26.614321129029893
2022.0,3.0,,,27.20511061255778,192.5938925768073,94.62146708387313,10.556759262883409,146.50831244734235,4.475746441212392,436.79104573679723,40.7128,-74.006,10.0,15.0,0.22329404876911052,0.18797491211325168,-0.8940230010675576,11.208304080853754,19.09230843052886
2022.0,4.0,4.705118160761872,NAN,27.84559687827643,Unknown,47.78823203941334,0.9687636289470991,255.6841516927548,38.3089406901721,432.5210298725871,,-74.006,10.0,,0.26905577365580857,0.7083463856824629,0.5080945255355063,41.42872404964518,16.096332963553174
2022.0,5.0,32.237692578409835,21.1346582562143,9.960272714911941,172.22510259098743,95.35806147324979,12.836511109965116,265.85909699035096,0.4555429140409739,405.1043768871732,40.7128,-74.006,10.0,,0.9315166776381751,0.9288092646068047,0.42474558712796284,13.957505675006292,26.507031679394412
2022.0,6.0,-3.8631905807404188,,3.6611591573668676,,38.06640595545929,10.983572099150246,,93.44920740301232,421.63289993948064,40.7128,-74.006,10.0,15.0,0.9281143639062192,0.5953533638639342,0.13801992465146262,42.04213040636974,21.213022234442178
2022.0,7.0,1.8410708675905862,28.67559834746125,,51.02500209729208,,1.5858595330816598,204.1909441013324,95.09946736867839,432.83805415229136,40.7128,-74.006,10.0,15.0,0.5096794665549871,0.24769746830105854,0.9438739976028825,14.423793651073439,15.56404882960652
2022.0,8.0,,17.445477193106626,8.50595150070502,186.31630198782563,,4.689495118154624,65.36752920279672,63.175637892078015,415.84004050884914,40.7128,-74.006,10.0,15.0,0.07395779427927907,0.5749268074486366,-0.07132247757597421,20.674433710413858,25.909632490654253
2022.0,9.0,,31.199346146039524,,9.233453739522602,41.07150007952499,14.071713249760862,187.98610611748038,82.17649761432261,427.68711940283356,40.7128,,10.0,15.0,0.617870554111082,0.16780571575879022,0.45747921959617566,21.657240802777636,10.58153900331713
2022.0,10.0,-4.023908314621862,36.434170177777666,13.974986861422735,128.9178325276326,,6.659815581625038,198.04410949208534,84.2153396699535,433.1756349591979,40.7128,-74.006,10.0,,0.187667269973133,0.1329371966628342,NAN,32.686484379036976,20.772903804160812
2022.0,,22.74963005009491,,-7.702567943274343,121.03187374765787,32.44045720316216,3.0179452771287445,72.23536083960478,87.95138703210394,,40.7128,-74.006,10.0,15.0,0.7464241402775804,0.8889101820777262,0.015278777321631853,99999.0,26.45234804124907
2022.0,12.0,3.311119093626562,32.91947522214996,22.109626405012662,174.6339846193058,79.37357471055967,,97.73413828724122,93.53569234894694,,40.7128,-74.006,10.0,15.0,0.9655027205067793,0.18678327236389403,,39.09953402946378,26.303726642238622
2023.0,1.0,4.679244078634962,38.05878917032235,,12.18579576408725,,12.993950559148482,NAN,47.862605322153264,405.61238933788434,40.7128,-74.006,10.0,15.0,0.5255755882638619,,0.9982542875917169,39.69748547339779,29.992846100183534
2023.0,2.0,28.277739411871615,,1.9451280311928834,194.18701083426723,52.82735521884617,12.781230222223838,,47.96608817966989,440.13946591597767,40.7128,-74.006,10.0,15.0,0.9234040531963834,0.6072375571432078,-0.3103900137828328,NAN,12.596895781669385
2023.0,3.0,23.07345814751536,,NAN,56.04025422413614,79.0379203809902,NAN,272.7854436490786,11.709719391658158,436.6880666777879,40.7128,-74.006,10.0,15.0,0.3284641691014576,0.3208426614109072,0.09464786542798054,14.218051106133544,25.248262037178307
Unknown,4.0,8.189698557925329,33.93113440183028,,18.129522087930816,71.09740896619235,11.228226176909645,266.7533247086951,28.458246551085008,400.486843955661,40.7128,-74.006,,15.0,0.4456544774603285,0.10670141769614372,-0.5347065046752042,29.348861152847434,
2023.0,5.0,-4.965472520409748,13.610327535265604,6.394052325813089,67.50417194097207,85.73021684906475,4.849795419262195,226.16606405377166,91.95819692974055,426.50198354452993,40.7128,-74.006,NAN,15.0,0.9919255762385564,0.8600299114302707,-0.08061629391949565,31.10397942947145,27.22095444952599
2023.0,6.0,6.701457403669227,29.87213443506935,27.319495379324522,171.47698872287768,68.37450122811697,9.758041193920024,292.73855999323274,2.2285233305171515,421.50855603614644,40.7128,-74.006,10.0,15.0,0.9981044379184744,0.38315931849824836,-0.5731875118507139,14.480948498998135,
2023.0,7.0,29.04368348278409,22.50843224525804,99999.0,85.02421683779376,45.65760377319935,14.143500018046506,104.85765372409051,,418.39678142156873,40.7128,NAN,10.0,15.0,0.5613493222906388,0.2408878598333356,-0.6278838273219085,30.87400861306312,
2023.0,8.0,11.270482710730818,15.064570721653778,-5.598376390302615,58.01898314745022,72.77554299694359,7.950057232957084,167.22562299576344,15.278407143116791,439.5537892622156,40.7128,-74.006,10.0,15.0,0.7261415689555203,0.18708538917165263,0.12615680813125318,13.647702368239107,16.190401657901763
2023.0,,3.1051745723917143,20.119856491277694,14.44350758473259,26.641256729576423,64.29065633964126,2.127273001353241,,33.542693511100495,437.46661904731616,40.7128,-74.006,10.0,15.0,0.1340891127866881,Unknown,-0.7529471332226607,,24.871200113833577
2023.0,10.0,13.051189500335035,33.4461898462557,,183.98120915563769,88.4602071518269,8.208757811369928,181.21762717640414,,429.93735642315056,40.7128,-74.006,10.0,15.0,0.21804571014854357,0.5951483226871209,0.9950746093715948,,13.683770518474333
2023.0,,32.8079670890706,22.588834813904015,-2.5430028292392937,194.40112910795054,45.98171444898914,12.408958787368611,141.058626595149,67.87865182955466,,40.7128,-74.006,,Unknown,0.610954955922285,0.3647878378877304,-0.29749949942472265,23.24609269079648,26.38037813985744
2023.0,12.0,27.484780128387065,1.543654624275037,-4.258235601724811,40.55623407219855,76.7391150803297,14.334765504857515,103.075261411268,72.17933845435037,444.1892545442612,,-74.006,10.0,99999.0,0.9103292394467405,0.4443766561563707,0.6201691680607431,27.30756335305798,13.494283553932933
2024.0,1.0,,25.989321822334603,27.458545135480975,44.01235476907903,,6.686504105274434,78.64800374676543,,436.92093104159966,40.7128,-74.006,10.0,,99999.0,0.9133366872488166,-0.13321923515756606,36.181377611708946,23.058594993623103
2024.0,2.0,,8.521477375491093,25.046129369422275,77.7930808268698,83.64488600459701,0.904365447785222,99.45816762844422,26.595002171428018,437.25174642934303,40.7128,-74.006,10.0,15.0,0.016688556710965807,0.22286390254626787,-0.17016128397823738,23.806886515229195,15.717788951632784
2024.0,3.0,12.919545021064064,30.591221189746864,22.031306859301267,128.96265912820044,98.05636270405643,14.969324930947673,146.56783253973072,72.7787951044724,435.3168903623687,40.7128,-74.006,10.0,15.0,0.5549182617908792,0.6990176390930971,0.9777003163500846,30.099385371654716,15.924913978547599
2024.0,4.0,27.826147476445207,12.245658523517097,,107.54656747038509,52.91582908889414,9.071706884579442,95.98489943658245,61.40048258362155,410.97003968252955,40.7128,-74.006,10.0,15.0,0.22363816443923157,0.6629557099103099,0.7352506796883984,37.238175523890355,27.488760922539434
2024.0,5.0,8.112714940250676,20.180165667374602,-3.8252498088178166,25.142808470575662,,13.301833921028337,178.3794856047371,96.11869522144109,,40.7128,-74.006,10.0,15.0,0.8773480898959045,0.4758223841908831,0.8712639560943294,47.715232472148415,27.83792267438653
